frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[752.8721923828125 1369.210693359375 1430.7803955078125 1982.91064453125],[973.7655639648438 1753.3367919921875 1199.7279052734375 1851.6197509765625],0.565712571144104,OA13NRU,0.31111454698547064
1,5.0,[2197.399026034336 1154.2834215468342 2785.55847930496 1736.547003073992],[2407.91455078125 1551.371337890625 2576.935546875 1638.369873046875],0.5950812697410583,MU51KSU,0.12425746087702963
1,3.0,[752.7638218692653 1369.2584133056735 1430.4360524539104 1982.8931949987364],[973.757080078125 1753.3359375 1199.621337890625 1851.615234375],0.5656632781028748,OA13NRU,0.18627882884079347
2,5.0,[2201.1787978719562 1163.4533346126514 2783.907423170486 1740.852064558053],[2411.8359375 1549.12255859375 2583.56640625 1641.9361572265625],0.5861986875534058,HV51VSU,0.20408029170235567
4,3.0,[749.0850579370231 1380.2561365884342 1430.169424583722 2000.7944459372286],[963.6485595703125 1783.3861083984375 1184.638916015625 1873.4183349609375],0.4999428987503052,NA13NRU,0.46606421649012747
4,5.0,[2196.6997165290945 1171.529082331969 2784.9977578509947 1751.7258317575922],[2410.735107421875 1562.9150390625 2585.170654296875 1653.1937255859375],0.42640039324760437,HU51KSU,0.2126183383595926
5,5.0,[2194.096625878699 1174.1965660052065 2789.763939782017 1755.6259456406397],[2411.282470703125 1562.439453125 2586.256591796875 1652.39111328125],0.49761343002319336,HU51VSU,0.41064862763462867
8,5.0,[2189.1329650005223 1176.7713745746578 2789.446675911809 1762.0337852857133],[2416.16064453125 1575.296630859375 2587.752685546875 1653.528076171875],0.5656309723854065,MO51YSU,0.08182164199321174
9,5.0,[2190.648476790556 1175.7444683103224 2792.237238731338 1764.454867428655],[2414.810546875 1579.6453857421875 2589.49755859375 1661.1383056640625],0.5821936130523682,KT53YSU,0.058135670246413675
9,3.0,[737.1985886857055 1396.0504059565433 1425.6083226592932 2026.146905335644],[939.8256225585938 1790.5682373046875 1188.2003173828125 1892.2584228515625],0.38696056604385376,NA13NRU,0.3916776562153381
12,3.0,[727.5475431544626 1404.1161238874129 1422.2767335830183 2041.414886562211],[943.5031127929688 1802.426513671875 1187.0267333984375 1903.083251953125],0.5232546329498291,NA13NRU,0.5026946152826635
13,5.0,[2192.415316612944 1169.9563484779387 2809.7479723358433 1772.3474827830082],[2417.90625 1588.09912109375 2590.99658203125 1673.6485595703125],0.6264288425445557,NO51YSU,0.05316768973840633
13,3.0,[726.2982947441085 1404.2620741055273 1420.7562278253702 2043.2459786395964],[943.4718017578125 1802.43310546875 1187.15625 1903.107421875],0.523212194442749,NA13NRU,0.5026946152826635
14,5.0,[2193.62171024114 1176.172002704795 2814.8183041291313 1777.351992144855],[2415.3896484375 1588.543212890625 2587.59912109375 1672.47802734375],0.6095014214515686,MV51VSU,0.17693575347818497
14,3.0,[725.9480846089352 1407.0738095485867 1423.1740262788 2052.1906605559902],[938.2769165039062 1806.96240234375 1184.4786376953125 1911.066650390625],0.5639623999595642,NA13NRU,0.5168530531299063
15,3.0,[723.0792616825652 1408.5604717075394 1418.8182947326964 2053.3829957516214],[936.7955932617188 1821.8829345703125 1156.3184814453125 1914.3599853515625],0.5854647159576416,NA13MRU,0.2114407460213353
16,3.0,[722.4587309221522 1412.916356104776 1419.681195854955 2056.865247430693],[959.2699584960938 1826.1456298828125 1167.9412841796875 1918.6951904296875],0.5466140508651733,NA13NRU,0.1844123806443501
17,3.0,[716.9062496554442 1417.3287693433617 1415.1856544632274 2062.0350738766647],[957.8289184570312 1835.7568359375 1171.025390625 1923.843017578125],0.5815415978431702,NA13NRU,0.3599270696259898
18,5.0,[2195.4810571425255 1194.7624259170457 2822.6316288920857 1793.351406260102],[2421.121826171875 1596.1175537109375 2594.187255859375 1690.1033935546875],0.6309388279914856,ML51NSU,0.24583967352933936
19,5.0,[2195.8234641882277 1195.7431762371352 2825.2583251189194 1795.1076148160068],[2421.060302734375 1596.0872802734375 2594.22021484375 1690.1639404296875],0.6304643154144287,ML51NSU,0.24583967352933936
20,5.0,[2198.0921155585897 1196.8977729707676 2825.797463352446 1798.1970860314073],[2424.370361328125 1600.628173828125 2596.72705078125 1695.7078857421875],0.6303732991218567,MV51VSU,0.4518813289837802
21,5.0,[2196.530960636039 1177.5447645009785 2821.599824128645 1792.5383521098947],[2421.150390625 1607.1339111328125 2597.283935546875 1701.6910400390625],0.6157816648483276,ML51YSV,0.05943275765558461
